Restaurant,Country,Menu Item,URL,Calories,Total Fat (g),Total Carbs (g),Protein (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Dietary Fiber (g),Sugars (g),Vitamin A (μg),Vitamin C (μg),Calcium (mg),Iron (mg),Added Sugars (g),Vitamin D (μg),Potassium (mg),Polyunsaturated Fat (g),Monounsaturated Fat (g)
Wendy's,UK,Medium Fries,https://www.wendys.com/en-gb/menu-items/medium-fries,176,8.5,22,2,0.6,,0,2100,1.9,3.7,,,,,,,,,
Wendy's,UK,The Veggie Stack,https://www.wendys.com/en-gb/menu-items/veggie-stack,613,31,57,23,11,,0,2900,6.8,8.8,,,,,,,,,
Wendy's,UK,,,,,,,,,,,,,,,,,,,,,
KFC,South Africa,New Colonel Burger,https://order.kfc.co.za/nutrition-allergen,417,14.6,38,32,5.4,0.1,68,1167,2.6,5.5,42,15,64.8,1.9,,,531.7,4,5.3
KFC,South Africa,1 piece of chicken,https://order.kfc.co.za/nutrition-allergen,198,11.3,8,15.3,3.9,0,71,631,1.5,0,0,1,22.4,0.7,,,196.2,3.1,4.4
KFC,South Africa,Regular chips,https://order.kfc.co.za/nutrition-allergen,300,15,33,5.6,6.9,0,6,316,6,0.3,1,5,11.8,1.3,,,1004.9,1.8,6.3
KFC,South Africa,Regular coleslaw,https://order.kfc.co.za/nutrition-allergen,254,9,32,8,2,0,96,294,10,8,3072,129,158,2,,,1012,5,2
KFC,South Africa,,,,,,,,,,,,,,,,,,,,,
KFC,USA,KFC Famous Bowl,https://www.kfc.com/full-nutrition-guide,590,22,67,31,5,0,85,2160,4,3,,,,,,,,,
KFC,USA,Spicy Chicken Sandwich,https://www.kfc.com/full-nutrition-guide,620,33,49,34,4,0,85,2140,1,6,,,,,,,,,
KFC,USA,Secret Recipe Fries,https://www.kfc.com/full-nutrition-guide,320,15,41,5,2,0,0,1100,3,0,,,,,,,,,
KFC,USA,,,,,,,,,,,,,,,,,,,,,
KFC,USA,,,,,,,,,,,,,,,,,,,,,
KFC,India,Classic Chicken Krisper,https://about.kfc.co.in/assets/files/nutrition-booklet.pdf,405,17,47,17,5,0,,720,,0,,,,,,,,,
KFC,India,1 Pc HC Leg,https://about.kfc.co.in/assets/files/nutrition-booklet.pdf,320,20,16,19,8,0,,265,,0,,,,,,,,,
KFC,India,Paneer Zinger,https://about.kfc.co.in/assets/files/nutrition-booklet.pdf,673,38,59,25,16,0,,2036,,17,,,,,,,,,
KFC,India,,,,,,,,,,,,,,,,,,,,,
KFC,India,,,,,,,,,,,,,,,,,,,,,
KFC,Mexico,Crujipollo,https://kfc.com.mx/es/tabla-nutricional,190.6,25.42,27.04,16.75,,0,,4282.43,,,,,,,,,,,
KFC,Mexico,Kentucky Chicken Sandwich Clasico,https://kfc.com.mx/es/tabla-nutricional,552.76,32.57,84.55,28.09,,0.03,,8830.54,,,,,,,,,,,
KFC,Mexico,Fries Medium,https://kfc.com.mx/es/tabla-nutricional,352.49,16.95,40.91,9.08,,0,,636.19,,,,,,,,,,,
KFC,Mexico,Ensalada mediana,https://kfc.com.mx/es/tabla-nutricional,28.45,5.7,0.79,1.21,,0,,1745.72,,,,,,,,,,,
KFC,Mexico,,,,,,,,,,,,,,,,,,,,,
KFC,UK,Baked Beans,https://www.kfc.co.uk/nutrition-allergens?close,93,0.6,15,4.7,0.09,,,,0.63,,5.9,,,,,,,,
KFC,UK,Fillet Burger,https://www.kfc.co.uk/nutrition-allergens?close,455,19.2,44.8,29.6,2.3,,,,2.54,,6,,,,,,,,
KFC,UK,Regular Signature Fries,https://www.kfc.co.uk/nutrition-allergens?close,261,9.8,38,3.1,0.79,,,,0.74,,0.49,,,,,,,,
KFC,UK,Vegan Burger,https://www.kfc.co.uk/nutrition-allergens?close,405,17.7,43.4,16.4,1.5,,,,2.67,,7.2,,,,,,,,
KFC,UK,,,,,,,,,,,,,,,,,,,,,
Burger King,South Africa,Boerewors Burger,https://www.burgerking.co.za/menu/picker-083e92b8-2d83-4894-a562-0fbcaf50b639,532,17,54,37,10,,,,3300,,16,,,,,,,,
Burger King,USA,Rodeo Burger,https://www.bk.com/nutrition-explorer,340,13,41,15,4.5,0,35,500,2,10,,,,,,,,,
Burger King,India,Mutton Indie Tikka Whopper,https://d1rgpf387mknul.cloudfront.net/1676898421pdfnutritionallergenspdf,393,20.6,31.5,16.6,8.2,0,0,1066.8,2,7,,,,,,,,,
Burger King,Mexico,Guacamole Crunch King,https://www.burgerking.com.mx/en/menu/picker-b1c2e107-2e6f-412b-9f06-dce14d360c2c,1015,,,,,,,,,,,,,,,,,,,
